顺丰速运,SF
百世快递,HTKY
中通快递,ZTO
申通快递,STO
圆通速递,YTO
韵达速递,YD
邮政快递包裹,YZPY
EMS,EMS
天天快递,HHTT
京东快递,JD
优速快递,UC
德邦快递,DBL
宅急送,ZJS
安捷快递,AJ
阿里跨境电商物流,ALKJWL
安迅物流,
安邮美国,AYUS
亚马逊物流,AMAZON
澳门邮政,AOMENYZ
安能物流,ANE
澳多多,ADD
澳邮专线,AYCA
安鲜达,AXD
安能快运,ANEKY
澳邦国际,ABGJ
八达通,BDT
百腾物流,BETWL
北极星快运,BJXKY
奔腾物流,BNTWL
百福东方,BFDF
贝海国际 ,BHGJ
八方安运,BFAY
百世快运,BTWL
帮帮发转运,BBFZY
春风物流,CFWL
诚通物流,CHTWL
传喜物流,CXHY
城市100,CITY100
城际快递,CJKD
CNPEX中邮快递,CNPEX
COE东方快递,COE
长沙创一,CSCY
成都善途速运,CDSTKY
联合运通,CTG
疯狂快递,CRAZY
CBO钏博物流,CBO
佳吉快运,CNEX
承诺达,CND
畅顺通达,CSTD
D速物流,DSWL
到了港,DLG 
大田物流,DTWL
东骏快捷物流,DJKJWL
德坤,DEKUN
德邦快运,DBLKY
大马鹿,DML
丹鸟物流,DNWL
E特快,ETK
EMS国内,EMS2
EWE,EWE
飞康达,FKD
富腾达  ,FTD
凡宇货的,FYKD
速派快递,FASTGO
飞豹快递,FBKD
丰巢,FBOX
飞狐快递,FHKD
复融供应链,FRGYL
飞远配送,FYPS
凡宇速递,FYSD
丰通快运,FT
冠达   ,GD
广东邮政,GDEMS
共速达,GSD
广通       ,GTONG
冠达快递,GDKD
挂号信,GHX
广通速递,GTKD
高铁快运,GTKY
迦递快递,GAI
港快速递,GKSD
高铁速递,GTSD
黑狗冷链,HGLL
恒路物流,HLWL
天地华宇,HOAU
鸿桥供应链,HOTSCM
海派通物流公司,HPTEX
华强物流,hq568
环球速运  ,HQSY
华夏龙物流,HXLWL
河北建华,HBJH
汇丰物流,HF
华航快递,HHKD
华翰物流,HHWL
黄马甲快递,HMJKD
海盟速递,HMSD
华企快运,HQKY
昊盛物流,HSWL
户通物流,HTWL
豪翔物流 ,HXWL
合肥汇文,HFHW
辉隆物流,HLONGWL
华企快递,HQKD
韩润物流,HRWL
青岛恒通快递,HTKD
货运皇物流,HYH
好来运快递,HLYSD
皇家物流,HJWL
海信物流,HISENSE
捷安达  ,JAD
京广速递,JGSD
九曳供应链,JIUYE
急先达,JXD
晋越快递,JYKD
佳成国际,JCEX
捷特快递,JTKD
精英速运,JYSY
加运美,JYM
景光物流,JGWL
佳怡物流,JYWL
京东快运,JDKY
金大物流,JDWL
极兔速递,JTSD
跨越速运,KYSY
快服务,KFW
快速递物流,KSDWL
康力物流,KLWL
快淘快递,KTKD
快优达速递,KYDSD
跨越物流,KYWL
快8速运,KBSY
龙邦快递,LB
蓝弧快递,LHKD
乐捷递,LJD
立即送,LJS
联昊通速递,LHT
民邦快递,MB
民航快递,MHKD
美快    ,MK
门对门快递,MDM
迈达,MD
闽盛快递,MSKD
迈隆递运,MRDY
明亮物流,MLWL
南方传媒物流,NFCM
南京晟邦物流,NJSBWL
能达速递,NEDA
平安达腾飞快递,PADTF
泛捷快递,PANEX
品骏快递,PJ
陪行物流,PXWL
PCA Express,PCA
全晨快递,QCKD
全日通快递,QRT
快客快递,QUICK
全信通,QXT
七曜中邮,QYZY
如风达,RFD
荣庆物流,RQ
日日顺物流,RRS
日昱物流,RLWL
瑞丰速递,RFEX
赛澳递,SAD
苏宁物流,SNWL
圣安物流,SAWL
晟邦物流,SBWL
上大物流,SDWL
盛丰物流,SFWL
速通物流,ST
速腾快递,STWL
速必达物流,SUBIDA
速递e站,SDEZ
速呈宅配,SCZPDS
速尔快递,SURE
山东海红,SDHH
顺丰国际,SFGJ
盛辉物流,SHWL
穗佳物流,SJWL
三态速递,STSD
山西红马甲,SXHMJ
世运快递,SYKD
闪送,SS
盛通快递,STKD
郑州速捷,SJ
顺心捷达,SX
商桥物流,SQWL
台湾邮政,TAIWANYZ
唐山申通,TSSTO
特急送,TJS
通用物流,TYWL
华宇物流,TDHY
通和天下,THTX
腾林物流,TLWL
全一快递,UAPEX
UBI,UBI
UEQ Express,UEQ
万家康  ,WJK
万家物流,WJWL
武汉同舟行,WHTZX
维普恩,WPE
中粮我买网,WM
万象物流,WXWL
微特派,WTP
温通物流,WTWL
迅驰物流  ,XCWL
信丰物流,XFEX
希优特,XYT
新邦物流,XBWL
祥龙运通,XLYT
新杰物流,XJ
源安达快递,YADEX
远成物流,YCWL
远成快运,YCSY
义达国际物流,YDH
易达通  ,YDT
原飞航物流,YFHEX
亚风快递,YFSD
运通快递,YTKD
亿翔快递,YXKD
运东西网,YUNDX
壹米滴答,YMDD
邮政国内标快,YZBK
一站通速运,YZTSY
驭丰速运,YFSUYUN
余氏东风,YSDF
耀飞快递,YF
韵达快运,YDKY
云路,YL
邮必佳,YBJ
越丰物流,YFEX
银捷速递,YJSD
优联吉运,YLJY
亿领速运,YLSY
英脉物流,YMWL
亿顺航,YSH
音素快运,YSKY
易通达,YTD
一统飞鸿,YTFH
圆通国际,YTOGJ
宇鑫物流,YXWL
包裹/平邮/挂号信,YZGN
一智通,YZT
优拜物流,YBWL
增益快递,ZENY
中睿速递,ZRSD
中铁快运,ZTKY
中天万运,ZTWY
中外运速递,ZWYSD
澳转运,ZY_AZY
八达网,ZY_BDA
贝易购,ZY_BYECO
赤兔马转运,ZY_CTM
CUL中美速递,ZY_CUL
ETD,ZY_ETD
风驰快递,ZY_FCKD
风雷速递,ZY_FLSD
皓晨优递,ZY_HCYD
海带宝,ZY_HDB
汇丰美中速递,ZY_HFMZ
豪杰速递,ZY_HJSD
华美快递,ZY_HMKD
360hitao转运,ZY_HTAO
海淘村,ZY_HTCUN
365海淘客,ZY_HTKE
华通快运,ZY_HTONG
海星桥快递,ZY_HXKD
华兴速运,ZY_HXSY
LogisticsY,ZY_IHERB
领跑者快递,ZY_LPZ
量子物流,ZY_LZWL
明邦转运,ZY_MBZY
美嘉快递,ZY_MJ
168 美中快递,ZY_MZ
欧e捷,ZY_OEJ
欧洲疯,ZY_OZF
欧洲GO,ZY_OZGO
全美通,ZY_QMT
SCS国际物流,ZY_SCS
SOHO苏豪国际,ZY_SOHO
Sonic-Ex速递,ZY_SONIC
通诚美中快递,ZY_TCM
TrakPak,ZY_TPAK
天天海淘,ZY_TTHT
天泽快递,ZY_TZKD
迅达快递,ZY_XDKD
信达速运,ZY_XDSY
新干线快递,ZY_XGX
